_id,TrialId,Threshold,GuessedCorrectly,GuessedIndex,CorrectIndex,Timestamp,Parameters.Resolution,Parameters.IsSymmetric,Parameters.ColorCount,Parameters.Saturation,Parameters.Lightness,Parameters.MinHueDistance,Parameters.HueSpacing,Parameters.SafeMode
7e0cffa7-6740-4d0b-b853-d335b6b175c5,a089f140-6d80-482a-8f1f-64a932cac2f0,0.84,true,-1,-1,2026-08-25T15:47:02.454Z,5,true,1,70,50,45,45,0
fce0bf96-e876-41fb-aa68-e0b80becca69,96d5c8d0-cb77-4473-baf9-ac7220fc8aa4,0.84,true,-1,-1,2026-08-25T15:47:15.973Z,5,true,1,70,50,45,45,0
81f1b991-c187-4b57-a37d-c8a737474e59,471bd15c-bfcf-4a9f-96b6-c5140177eb7f,0.88,true,3,3,2026-08-25T15:47:21.439Z,5,true,1,70,50,45,45,0
db926f3f-057c-4ffe-b0de-bdfe43cb0b79,a488c692-bd28-49bf-8f4f-288f44ca75dd,0.92,true,0,0,2026-08-25T15:47:27.250Z,5,true,1,70,50,45,45,0
fb72c9d4-4c30-4867-a59b-4684991d6f38,c8ef9088-92e2-4a52-81b6-c05da863a2c5,0.96,true,0,0,2026-08-25T15:47:31.633Z,5,true,1,70,50,45,45,0
a301f98c-ff37-4f2a-8a67-0cc7585fba08,79986a11-7dcc-4a08-ae59-8c2ff912d093,0.96,true,-1,-1,2026-08-25T15:47:39.242Z,5,true,1,70,50,45,45,0
408641a5-f5da-4128-819d-aa28d368034d,c4587a95-5a04-4872-8189-055bdb0de076,0.96,true,3,3,2026-08-25T15:47:46.483Z,5,true,1,70,50,45,45,0
22bd751c-6cad-49df-b316-23489618407a,5cb16352-f755-4d50-9c6d-7aa43c6098f8,0.96,false,-1,2,2026-08-25T15:47:53.132Z,5,true,1,70,50,45,45,0
044b723e-a0cf-4e78-855c-b8ff5a3797f3,7065c86a-177e-420c-a230-1918f1131827,0.92,true,2,2,2026-08-25T15:48:02.637Z,5,true,1,70,50,45,45,0
e3c4ce53-dd7a-4811-bed2-5783bac21b0a,2cab33bb-39d3-488e-9c21-eb690d13fe8e,0.96,false,-1,2,2026-08-25T15:48:11.372Z,5,true,1,70,50,45,45,0
